komnr,komnavn,kostragr
0301,Oslo,13
1101,Eigersund,7
1103,Stavanger,12
1106,Haugesund,10
1108,Sandnes,12
1111,Sokndal,4
1112,Lund,4
1114,Bjerkreim,4
1119,Hå,7
1120,Klepp,7
1121,Time,7
1122,Gjesdal,7
1124,Sola,9
1127,Randaberg,7
1130,Strand,7
1133,Hjelmeland,6
1134,Suldal,17
1135,Sauda,6
1144,Kvitsøy,16
1145,Bokn,14
1146,Tysvær,8
1149,Karmøy,10
1151,Utsira,16
1160,Vindafjord,1
1505,Kristiansund,9
1506,Molde,10
1507,Ålesund,11
1511,Vanylven,5
1514,Sande,4
1515,Herøy (Møre og Romsdal),1
1516,Ulstein,1
1517,Hareid,1
1520,Ørsta,7
1525,Stranda,1
1528,Sykkylven,1
1531,Sula,1
1532,Giske,1
1535,Vestnes,4
1539,Rauma,1
1547,Aukra,17
1554,Averøy,1
1557,Gjemnes,4
1560,Tingvoll,5
1563,Sunndal,5
1566,Surnadal,1
1573,Smøla,6
1576,Aure,6
1577,Volda,7
1578,Fjord,6
1579,Hustadvika,7
1804,Bodø,11
1806,Narvik,9
1811,Bindal,15
1812,Sømna,15
1813,Brønnøy,2
1815,Vega,14
1816,Vevelstad,16
1818,Herøy (Nordland),15
1820,Alstahaug,2
1822,Leirfjord,5
1824,Vefsn,8
1825,Grane,14
1826,Hattfjelldal,15
1827,Dønna,15
1828,Nesna,15
1832,Hemnes,6
1833,Rana,9
1834,Lurøy,15
1835,Træna,16
1836,Rødøy,15
1837,Meløy,6
1838,Gildeskål,15
1839,Beiarn,15
1840,Saltdal,5
1841,Fauske - Fuosko,2
1845,Sørfold,15
1848,Steigen,6
1851,Lødingen,5
1853,Evenes,14
1856,Røst,16
1857,Værøy,14
1859,Flakstad,15
1860,Vestvågøy,8
1865,Vågan,2
1866,Hadsel,3
1867,Bø,5
1868,Øksnes,2
1870,Sortland - Suortá,8
1871,Andøy,4
1874,Moskenes,15
1875,Hamarøy,6
3001,Halden,10
3002,Moss,11
3003,Sarpsborg,11
3004,Fredrikstad,12
3005,Drammen,12
3006,Kongsberg,9
3007,Ringerike,10
3011,Hvaler,2
3012,Aremark,14
3013,Marker,1
3014,Indre Østfold,10
3015,Skiptvet,1
3016,Rakkestad,1
3017,Råde,1
3018,Våler (Viken),1
3019,Vestby,7
3020,Nordre Follo,11
3021,Ås,9
3022,Frogn,7
3023,Nesodden,7
3024,Bærum,12
3025,Asker,12
3026,Aurskog-Høland,7
3027,Rælingen,7
3028,Enebakk,7
3029,Lørenskog,10
3030,Lillestrøm,12
3031,Nittedal,9
3032,Gjerdrum,1
3033,Ullensaker,10
3034,Nes,9
3035,Eidsvoll,9
3036,Nannestad,7
3037,Hurdal,4
3038,Hole,1
3039,Flå,15
3040,Nesbyen,4
3041,Gol,5
3042,Hemsedal,4
3043,Ål,5
3044,Hol,3
3045,Sigdal,4
3046,Krødsherad,4
3047,Modum,7
3048,Øvre Eiker,7
3049,Lier,9
3050,Flesberg,4
3051,Rollag,14
3052,Nore og Uvdal,6
3053,Jevnaker,1
3054,Lunner,1
3401,Kongsvinger,7
3403,Hamar,10
3405,Lillehammer,9
3407,Gjøvik,10
3411,Ringsaker,10
3412,Løten,1
3413,Stange,9
3414,Nord-Odal,1
3415,Sør-Odal,1
3416,Eidskog,4
3417,Grue,1
3418,Åsnes,1
3419,Våler (Innlandet),4
3420,Elverum,9
3421,Trysil,4
3422,Åmot,4
3423,Stor-Elvdal,5
3424,Rendalen,14
3425,Engerdal,15
3426,Tolga,14
3427,Tynset,2
3428,Alvdal,5
3429,Folldal,14
3430,Os,14
3431,Dovre,4
3432,Lesja,14
3433,Skjåk,5
3434,Lom,5
3435,Vågå,4
3436,Nord-Fron,2
3437,Sel,4
3438,Sør-Fron,5
3439,Ringebu,2
3440,Øyer,2
3441,Gausdal,1
3442,Østre Toten,7
3443,Vestre Toten,7
3446,Gran,7
3447,Søndre Land,4
3448,Nordre Land,1
3449,Sør-Aurdal,4
3450,Etnedal,14
3451,Nord-Aurdal,2
3452,Vestre Slidre,5
3453,Øystre Slidre,4
3454,Vang,15
3801,Horten,9
3802,Holmestrand,9
3803,Tønsberg,11
3804,Sandefjord,11
3805,Larvik,11
3806,Porsgrunn,10
3807,Skien,11
3808,Notodden,7
3811,Færder,9
3812,Siljan,4
3813,Bamble,7
3814,Kragerø,7
3815,Drangedal,4
3816,Nome,5
3817,Midt-Telemark,7
3818,Tinn,6
3819,Hjartdal,14
3820,Seljord,5
3821,Kviteseid,4
3822,Nissedal,14
3823,Fyresdal,14
3824,Tokke,6
3825,Vinje,6
4201,Risør,1
4202,Grimstad,9
4203,Arendal,11
4204,Kristiansand,12
4205,Lindesnes,9
4206,Farsund,1
4207,Flekkefjord,4
4211,Gjerstad,5
4212,Vegårshei,4
4213,Tvedestrand,1
4214,Froland,1
4215,Lillesand,7
4216,Birkenes,1
4217,Åmli,14
4218,Iveland,14
4219,Evje og Hornnes,4
4220,Bygland,14
4221,Valle,15
4222,Bykle,17
4223,Vennesla,7
4224,Åseral,15
4225,Lyngdal,7
4226,Hægebostad,14
4227,Kvinesdal,5
4228,Sirdal,17
4601,Bergen,12
4602,Kinn,7
4611,Etne,4
4612,Sveio,1
4613,Bømlo,8
4614,Stord,7
4615,Fitjar,5
4616,Tysnes,5
4617,Kvinnherad,8
4618,Ullensvang,8
4619,Eidfjord,17
4620,Ulvik,14
4621,Voss,7
4622,Kvam,5
4623,Samnanger,4
4624,Bjørnafjorden,9
4625,Austevoll,2
4626,Øygarden,10
4627,Askøy,9
4628,Vaksdal,5
4629,Modalen,17
4630,Osterøy,1
4631,Alver,9
4632,Austrheim,4
4633,Fedje,16
4634,Masfjorden,14
4635,Gulen,6
4636,Solund,15
4637,Hyllestad,14
4638,Høyanger,6
4639,Vik,6
4640,Sogndal,8
4641,Aurland,17
4642,Lærdal,5
4643,Årdal,2
4644,Luster,5
4645,Askvoll,4
4646,Fjaler,5
4647,Sunnfjord,9
4648,Bremanger,5
4649,Stad,2
4650,Gloppen,4
4651,Stryn,1
5001,Trondheim,12
5006,Steinkjer,9
5007,Namsos,8
5014,Frøya,3
5020,Osen,15
5021,Oppdal,2
5022,Rennebu,5
5025,Røros,2
5026,Holtålen,14
5027,Midtre Gauldal,1
5028,Melhus,7
5029,Skaun,1
5031,Malvik,7
5032,Selbu,4
5033,Tydal,17
5034,Meråker,5
5035,Stjørdal,9
5036,Frosta,4
5037,Levanger,9
5038,Verdal,7
5041,Snåase - Snåsa,5
5042,Lierne,15
5043,Raarvihke - Røyrvik,16
5044,Namsskogan,15
5045,Grong,6
5046,Høylandet,14
5047,Overhalla,4
5049,Flatanger,15
5052,Leka,16
5053,Inderøy,1
5054,Indre Fosen,7
5055,Heim,2
5056,Hitra,3
5057,Ørland,8
5058,Åfjord,6
5059,Orkland,7
5060,Nærøysund,3
5061,Rindal,4
5401,Tromsø,12
5402,Harstad,9
5403,Alta,9
5404,Vardø,3
5405,Vadsø,3
5406,Hammerfest,8
5411,Kvæfjord,6
5412,Tjeldsund,6
5413,Ibestad,15
5414,Gratangen,15
5415,Loabák - Lavangen,15
5416,Bardu,6
5417,Salangen,6
5418,Målselv,2
5419,Sørreisa,1
5420,Dyrøy,15
5421,Senja,8
5422,Balsfjord,4
5423,Karlsøy,6
5424,Lyngen,5
5425,Storfjord - Omasvuotna - Omasvuono,15
5426,Gáivuotna - Kåfjord - Kaivuono,6
5427,Skjervøy,6
5428,Nordreisa,5
5429,Kvænangen,15
5430,Guovdageaidnu - Kautokeino,6
5432,Loppa,15
5433,Hasvik,15
5434,Måsøy,15
5435,Nordkapp,3
5436,Porsanger - Porsángu - Porsanki ,3
5437,Kárásjohka - Karasjok,5
5438,Lebesby,15
5439,Gamvik,15
5440,Berlevåg,15
5441,Deatnu-Tana,6
5442,Unjárga-Nesseby,15
5443,Båtsfjord,6
5444,Sør-Varanger,8
